Start,Time_Start,End,Time_End,Location,Type,Place
11/11/2012,21:14:21,11/12/2012,0:21:49,Seat,Pressure,Living
11/12/2012,0:22:57,11/12/2012,0:22:59,Door,PIR,Living
11/12/2012,0:23:14,11/12/2012,0:23:17,Door,PIR,Kitchen
11/12/2012,0:24:20,11/12/2012,0:24:22,Door,PIR,Kitchen
11/12/2012,0:24:42,11/12/2012,0:24:54,Door,PIR,Living
11/12/2012,0:25:35,11/12/2012,0:42:56,Seat,Pressure,Living
11/12/2012,0:43:46,11/12/2012,0:43:49,Door,PIR,Living
11/12/2012,0:46:12,11/12/2012,0:46:15,Door,PIR,Bedroom
11/12/2012,0:47:21,11/12/2012,0:47:24,Door,PIR,Bedroom
11/12/2012,0:48:38,11/12/2012,0:50:12,Basin,PIR,Bathroom
11/12/2012,0:50:29,11/12/2012,0:50:32,Door,PIR,Living
11/12/2012,0:51:18,11/12/2012,1:52:12,Seat,Pressure,Living
11/12/2012,1:53:19,11/12/2012,1:53:22,Door,PIR,Living
11/12/2012,1:53:27,11/12/2012,1:53:35,Basin,PIR,Bathroom
11/12/2012,1:53:39,11/12/2012,1:54:27,Toilet,Flush,Bathroom
11/12/2012,1:53:53,11/12/2012,1:53:57,Door,PIR,Bedroom
11/12/2012,1:55:09,11/12/2012,9:30:35,Bed,Pressure,Bedroom
11/12/2012,9:31:16,11/12/2012,9:31:19,Door,PIR,Bedroom
11/12/2012,9:37:28,11/12/2012,9:38:45,Toilet,Flush,Bathroom
11/12/2012,9:40:17,11/12/2012,9:40:22,Door,PIR,Living
11/12/2012,9:41:14,11/12/2012,9:41:17,Door,PIR,Living
11/12/2012,9:42:02,11/12/2012,9:42:05,Door,PIR,Kitchen
11/12/2012,9:47:57,11/12/2012,9:48:12,Fridge,Magnetic,Kitchen
11/12/2012,9:48:21,11/12/2012,9:50:02,Microwave,Electric,Kitchen
11/12/2012,9:52:33,11/12/2012,9:52:35,Door,PIR,Kitchen
11/12/2012,9:53:26,11/12/2012,9:53:29,Door,PIR,Bedroom
11/12/2012,9:56:16,11/12/2012,9:56:20,Door,PIR,Bedroom
11/12/2012,9:56:25,11/12/2012,9:56:28,Door,PIR,Living
11/12/2012,9:57:36,11/12/2012,10:14:50,Seat,Pressure,Living
11/12/2012,10:15:44,11/12/2012,10:15:47,Door,PIR,Living
11/12/2012,10:16:55,11/12/2012,10:16:58,Door,PIR,Bedroom
11/12/2012,10:17:01,11/12/2012,10:17:05,Door,PIR,Bedroom
11/12/2012,10:18:19,11/12/2012,10:20:15,Basin,PIR,Bathroom
11/12/2012,10:21:39,11/12/2012,10:29:45,Shower,PIR,Bathroom
11/12/2012,10:32:25,11/12/2012,10:32:38,Door,PIR,Living
11/12/2012,10:33:09,11/12/2012,10:33:10,Door,PIR,Living
11/12/2012,10:33:23,11/12/2012,10:33:25,Door,PIR,Kitchen
11/12/2012,10:33:27,11/12/2012,10:33:42,Door,PIR,Kitchen
11/12/2012,10:33:47,11/12/2012,10:34:10,Basin,PIR,Bathroom
11/12/2012,10:34:11,11/12/2012,10:35:02,Toilet,Flush,Bathroom
