"Location","Type","Place","Duration","Day","obj"
"Seat","Pressure","Living",187.467,"Sun","Living Seat"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.2,"Mon","Living Door"
"Seat","Pressure","Living",17.35,"Mon","Living Seat"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Basin","PIR","Bathroom",1.567,"Mon","Bathroom Basin"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Seat","Pressure","Living",60.9,"Mon","Living Seat"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Basin","PIR","Bathroom",0.133,"Mon","Bathroom Basin"
"Toilet","Flush","Bathroom",0.8,"Mon","Bathroom Toilet"
"Door","PIR","Bedroom",0.067,"Mon","Bedroom Door"
"Bed","Pressure","Bedroom",455.433,"Mon","Bedroom Bed"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Toilet","Flush","Bathroom",1.283,"Mon","Bathroom Toilet"
"Door","PIR","Living",0.083,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.25,"Mon","Kitchen Fridge"
"Microwave","Electric","Kitchen",1.683,"Mon","Kitchen Microwave"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Mon","Bedroom Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Seat","Pressure","Living",17.233,"Mon","Living Seat"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Mon","Bedroom Door"
"Basin","PIR","Bathroom",1.933,"Mon","Bathroom Basin"
"Shower","PIR","Bathroom",8.1,"Mon","Bathroom Shower"
"Door","PIR","Living",0.217,"Mon","Living Door"
"Door","PIR","Living",0.017,"Mon","Living Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.25,"Mon","Kitchen Door"
"Basin","PIR","Bathroom",0.383,"Mon","Bathroom Basin"
"Toilet","Flush","Bathroom",0.85,"Mon","Bathroom Toilet"
"Basin","PIR","Bathroom",4.783,"Mon","Bathroom Basin"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Basin","PIR","Bathroom",0.033,"Mon","Bathroom Basin"
"Door","PIR","Living",0.117,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.383,"Mon","Kitchen Fridge"
"Microwave","Electric","Kitchen",0.967,"Mon","Kitchen Microwave"
"Door","PIR","Kitchen",0.083,"Mon","Kitchen Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Bedroom",0.083,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.117,"Mon","Bedroom Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Fridge","Magnetic","Kitchen",1.65,"Mon","Kitchen Fridge"
"Fridge","Magnetic","Kitchen",0.05,"Mon","Kitchen Fridge"
"Door","PIR","Kitchen",0.233,"Mon","Kitchen Door"
"Door","PIR","Living",0.167,"Mon","Living Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.117,"Mon","Bedroom Door"
"Door","PIR","Kitchen",0.25,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Bedroom",0.117,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Toilet","Flush","Bathroom",0.667,"Mon","Bathroom Toilet"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Toilet","Flush","Bathroom",2.233,"Mon","Bathroom Toilet"
"Basin","PIR","Bathroom",7.15,"Mon","Bathroom Basin"
"Basin","PIR","Bathroom",5.617,"Mon","Bathroom Basin"
"Door","PIR","Living",0.85,"Mon","Living Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Fridge","Magnetic","Kitchen",3.133,"Mon","Kitchen Fridge"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.117,"Mon","Kitchen Cupboard"
"Cupboard","Magnetic","Kitchen",0.1,"Mon","Kitchen Cupboard"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.117,"Mon","Kitchen Cupboard"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.2,"Mon","Kitchen Cupboard"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Toilet","Flush","Bathroom",0.967,"Mon","Bathroom Toilet"
"Basin","PIR","Bathroom",1.567,"Mon","Bathroom Basin"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Seat","Pressure","Living",27.333,"Mon","Living Seat"
"Door","PIR","Living",0.1,"Mon","Living Door"
"Maindoor","Magnetic","Entrance",0.117,"Mon","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.05,"Mon","Entrance Maindoor"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.133,"Mon","Living Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Toilet","Flush","Bathroom",0.967,"Mon","Bathroom Toilet"
"Basin","PIR","Bathroom",0.2,"Mon","Bathroom Basin"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Seat","Pressure","Living",61.6,"Mon","Living Seat"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.267,"Mon","Kitchen Fridge"
"Microwave","Electric","Kitchen",1.017,"Mon","Kitchen Microwave"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Bedroom",0.083,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Seat","Pressure","Living",113.65,"Mon","Living Seat"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Bedroom",0.2,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.317,"Mon","Living Door"
"Basin","PIR","Bathroom",0.117,"Mon","Bathroom Basin"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.583,"Mon","Kitchen Cupboard"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Basin","PIR","Bathroom",0.133,"Mon","Bathroom Basin"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Seat","Pressure","Living",38.717,"Mon","Living Seat"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Bedroom",0.05,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Toilet","Flush","Bathroom",1.133,"Mon","Bathroom Toilet"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Seat","Pressure","Living",99.233,"Mon","Living Seat"
"Door","PIR","Living",0.6,"Tue","Living Door"
"Basin","PIR","Bathroom",0.55,"Tue","Bathroom Basin"
"Door","PIR","Bedroom",0.067,"Tue","Bedroom Door"
"Bed","Pressure","Bedroom",440.717,"Tue","Bedroom Bed"
"Door","PIR","Bedroom",0.05,"Tue","Bedroom Door"
"Door","PIR","Living",0.033,"Tue","Living Door"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Kitchen",0.083,"Tue","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.067,"Tue","Kitchen Fridge"
"Microwave","Electric","Kitchen",1.683,"Tue","Kitchen Microwave"
"Fridge","Magnetic","Kitchen",0.05,"Tue","Kitchen Fridge"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Door","PIR","Bedroom",0.067,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Tue","Bedroom Door"
"Basin","PIR","Bathroom",0.05,"Tue","Bathroom Basin"
"Toilet","Flush","Bathroom",1.083,"Tue","Bathroom Toilet"
"Basin","PIR","Bathroom",3.033,"Tue","Bathroom Basin"
"Basin","PIR","Bathroom",0.817,"Tue","Bathroom Basin"
