"Location","Place","Duration","Start_time_mins","Day"
"Seat","Living",187.467,1274.35,"Sun"
"Door","Living",0.033,22.95,"Mon"
"Door","Kitchen",0.05,23.233,"Mon"
"Door","Kitchen",0.033,24.333,"Mon"
"Door","Living",0.2,24.7,"Mon"
"Seat","Living",17.35,25.583,"Mon"
"Door","Living",0.05,43.767,"Mon"
"Door","Bedroom",0.05,46.2,"Mon"
"Door","Bedroom",0.05,47.35,"Mon"
"Basin","Bathroom",1.567,48.633,"Mon"
"Door","Living",0.05,50.483,"Mon"
"Seat","Living",60.9,51.3,"Mon"
"Door","Living",0.05,113.317,"Mon"
"Basin","Bathroom",0.133,113.45,"Mon"
"Toilet","Bathroom",0.8,113.65,"Mon"
"Door","Bedroom",0.067,113.883,"Mon"
"Bed","Bedroom",455.433,115.15,"Mon"
"Door","Bedroom",0.05,571.267,"Mon"
"Toilet","Bathroom",1.283,577.467,"Mon"
"Door","Living",0.083,580.283,"Mon"
"Door","Living",0.05,581.233,"Mon"
"Door","Kitchen",0.05,582.033,"Mon"
"Fridge","Kitchen",0.25,587.95,"Mon"
"Microwave","Kitchen",1.683,588.35,"Mon"
"Door","Kitchen",0.033,592.55,"Mon"
"Door","Bedroom",0.05,593.433,"Mon"
"Door","Bedroom",0.067,596.267,"Mon"
"Door","Living",0.05,596.417,"Mon"
"Seat","Living",17.233,597.6,"Mon"
"Door","Living",0.05,615.733,"Mon"
"Door","Bedroom",0.05,616.917,"Mon"
"Door","Bedroom",0.067,617.017,"Mon"
"Basin","Bathroom",1.933,618.317,"Mon"
"Shower","Bathroom",8.1,621.65,"Mon"
"Door","Living",0.217,632.417,"Mon"
"Door","Living",0.017,633.15,"Mon"
"Door","Kitchen",0.033,633.383,"Mon"
"Door","Kitchen",0.25,633.45,"Mon"
"Basin","Bathroom",0.383,633.783,"Mon"
"Toilet","Bathroom",0.85,634.183,"Mon"
"Basin","Bathroom",4.783,635.233,"Mon"
"Door","Kitchen",0.033,640.483,"Mon"
"Door","Kitchen",0.033,641.133,"Mon"
"Door","Living",0.033,641.333,"Mon"
"Door","Living",0.033,641.7,"Mon"
"Basin","Bathroom",0.033,642.083,"Mon"
"Door","Living",0.117,647.283,"Mon"
"Door","Living",0.05,664.883,"Mon"
"Door","Kitchen",0.05,665.733,"Mon"
"Fridge","Kitchen",0.383,666.183,"Mon"
"Microwave","Kitchen",0.967,669.733,"Mon"
"Door","Kitchen",0.083,680.667,"Mon"
"Door","Living",0.067,681.433,"Mon"
"Door","Living",0.05,683.567,"Mon"
"Door","Bedroom",0.083,684.2,"Mon"
"Door","Bedroom",0.033,692.45,"Mon"
"Door","Kitchen",0.033,692.65,"Mon"
"Door","Kitchen",0.033,693.25,"Mon"
"Door","Bedroom",0.033,694.133,"Mon"
"Door","Bedroom",0.117,694.75,"Mon"
"Door","Kitchen",0.05,697.817,"Mon"
"Fridge","Kitchen",1.65,698.45,"Mon"
"Fridge","Kitchen",0.05,703.867,"Mon"
"Door","Kitchen",0.233,707.15,"Mon"
"Door","Living",0.167,707.633,"Mon"
"Door","Living",0.033,721.833,"Mon"
"Door","Bedroom",0.033,722.117,"Mon"
"Door","Bedroom",0.117,742.383,"Mon"
"Door","Kitchen",0.25,743.55,"Mon"
"Door","Kitchen",0.05,757,"Mon"
"Door","Bedroom",0.117,759.583,"Mon"
"Door","Bedroom",0.033,761.733,"Mon"
"Toilet","Bathroom",0.667,761.983,"Mon"
"Door","Bedroom",0.033,763.683,"Mon"
"Door","Bedroom",0.033,769.35,"Mon"
"Door","Living",0.067,769.7,"Mon"
"Door","Living",0.05,771.017,"Mon"
"Toilet","Bathroom",2.233,772.967,"Mon"
"Basin","Bathroom",7.15,780.033,"Mon"
"Basin","Bathroom",5.617,792.783,"Mon"
"Door","Living",0.85,799.017,"Mon"
"Door","Living",0.067,812.7,"Mon"
"Door","Kitchen",0.067,813.183,"Mon"
"Door","Kitchen",0.067,824.383,"Mon"
"Door","Kitchen",0.033,827.817,"Mon"
"Fridge","Kitchen",3.133,832.517,"Mon"
"Door","Kitchen",0.05,840.033,"Mon"
"Door","Living",0.05,844.783,"Mon"
"Door","Living",0.033,860.267,"Mon"
"Door","Kitchen",0.05,860.467,"Mon"
"Cupboard","Kitchen",0.117,879.017,"Mon"
