"Start","End","Location","Place"
2018-01-11 21:14:21,2018-02-11 00:21:49,"Seat","Living"
2018-02-11 00:22:57,2018-02-11 00:22:59,"Door","Living"
2018-02-11 00:23:14,2018-02-11 00:23:17,"Door","Kitchen"
2018-02-11 00:24:20,2018-02-11 00:24:22,"Door","Kitchen"
2018-02-11 00:24:42,2018-02-11 00:24:54,"Door","Living"
2018-02-11 00:25:35,2018-02-11 00:42:56,"Seat","Living"
2018-02-11 00:43:46,2018-02-11 00:43:49,"Door","Living"
2018-02-11 00:46:12,2018-02-11 00:46:15,"Door","Bedroom"
2018-02-11 00:47:21,2018-02-11 00:47:24,"Door","Bedroom"
2018-02-11 00:48:38,2018-02-11 00:50:12,"Basin","Bathroom"
2018-02-11 00:50:29,2018-02-11 00:50:32,"Door","Living"
2018-02-11 00:51:18,2018-02-11 01:52:12,"Seat","Living"
2018-02-11 01:53:19,2018-02-11 01:53:22,"Door","Living"
2018-02-11 01:53:27,2018-02-11 01:53:35,"Basin","Bathroom"
2018-02-11 01:53:39,2018-02-11 01:54:27,"Toilet","Bathroom"
2018-02-11 01:53:53,2018-02-11 01:53:57,"Door","Bedroom"
2018-02-11 01:55:09,2018-02-11 09:30:35,"Bed","Bedroom"
2018-02-11 09:31:16,2018-02-11 09:31:19,"Door","Bedroom"
2018-02-11 09:37:28,2018-02-11 09:38:45,"Toilet","Bathroom"
2018-02-11 09:40:17,2018-02-11 09:40:22,"Door","Living"
2018-02-11 09:41:14,2018-02-11 09:41:17,"Door","Living"
2018-02-11 09:42:02,2018-02-11 09:42:05,"Door","Kitchen"
2018-02-11 09:47:57,2018-02-11 09:48:12,"Fridge","Kitchen"
2018-02-11 09:48:21,2018-02-11 09:50:02,"Microwave","Kitchen"
2018-02-11 09:52:33,2018-02-11 09:52:35,"Door","Kitchen"
2018-02-11 09:53:26,2018-02-11 09:53:29,"Door","Bedroom"
2018-02-11 09:56:16,2018-02-11 09:56:20,"Door","Bedroom"
2018-02-11 09:56:25,2018-02-11 09:56:28,"Door","Living"
2018-02-11 09:57:36,2018-02-11 10:14:50,"Seat","Living"
2018-02-11 10:15:44,2018-02-11 10:15:47,"Door","Living"
2018-02-11 10:16:55,2018-02-11 10:16:58,"Door","Bedroom"
2018-02-11 10:17:01,2018-02-11 10:17:05,"Door","Bedroom"
2018-02-11 10:18:19,2018-02-11 10:20:15,"Basin","Bathroom"
2018-02-11 10:21:39,2018-02-11 10:29:45,"Shower","Bathroom"
2018-02-11 10:32:25,2018-02-11 10:32:38,"Door","Living"
2018-02-11 10:33:09,2018-02-11 10:33:10,"Door","Living"
2018-02-11 10:33:23,2018-02-11 10:33:25,"Door","Kitchen"
2018-02-11 10:33:27,2018-02-11 10:33:42,"Door","Kitchen"
2018-02-11 10:33:47,2018-02-11 10:34:10,"Basin","Bathroom"
2018-02-11 10:34:11,2018-02-11 10:35:02,"Toilet","Bathroom"
2018-02-11 10:35:14,2018-02-11 10:40:01,"Basin","Bathroom"
2018-02-11 10:40:29,2018-02-11 10:40:31,"Door","Kitchen"
2018-02-11 10:41:08,2018-02-11 10:41:10,"Door","Kitchen"
2018-02-11 10:41:20,2018-02-11 10:41:22,"Door","Living"
2018-02-11 10:41:42,2018-02-11 10:41:44,"Door","Living"
2018-02-11 10:42:05,2018-02-11 10:42:07,"Basin","Bathroom"
2018-02-11 10:47:17,2018-02-11 10:47:24,"Door","Living"
2018-02-11 11:04:53,2018-02-11 11:04:56,"Door","Living"
2018-02-11 11:05:44,2018-02-11 11:05:47,"Door","Kitchen"
